portfolio_id,archetype,tier,leg,as_of,cta_action,cta_ticker,cta_reason,cta_dollars,cta_executed,random_ticker,random_executed,twin_vol,managed_vol,random_vol,leg_managed_vol_avoided,leg_random_vol_avoided,cumulative_managed_vol_avoided,cumulative_random_vol_avoided,twin_maxDD,managed_maxDD,random_maxDD,managed_cash,random_cash
0,diversified_sleepy,low,1,124,hold,,portfolio_healthy,0.0,False,,False,12.1898,12.1898,12.1898,0.0,0.0,0.0,0.0,3.0579,3.0579,3.0579,0.0,0.0
0,diversified_sleepy,low,2,149,hold,,portfolio_healthy,0.0,False,,False,8.9264,8.9264,8.9264,0.0,0.0,0.0,0.0,3.8385,3.8385,3.8385,0.0,0.0
0,diversified_sleepy,low,3,174,sell,UNH,steep_decline,1290.0,True,UNH,True,11.8732,11.5687,11.5687,0.3045,0.3045,0.3045,0.3045,3.7407,3.6097,3.6097,1290.0,1290.0
0,diversified_sleepy,low,4,199,sell,MSFT,steep_decline,1510.0,True,UNH,True,7.6448,7.3641,7.2319,0.2807,0.4129,0.5852,0.7174,0.9327,0.8796,0.8404,2800.0,2800.0
0,diversified_sleepy,low,5,224,hold,,portfolio_healthy,0.0,False,,False,10.7609,10.116,10.364,0.6449,0.3969,1.23,1.1142,4.5368,4.3908,4.7348,2800.0,2800.0
1,diversified_sleepy,regular,1,124,hold,,portfolio_healthy,0.0,False,,False,11.6444,11.6444,11.6444,0.0,0.0,0.0,0.0,2.8667,2.8667,2.8667,0.0,0.0
1,diversified_sleepy,regular,2,149,hold,,portfolio_healthy,0.0,False,,False,9.0741,9.0741,9.0741,0.0,0.0,0.0,0.0,4.358,4.358,4.358,0.0,0.0
1,diversified_sleepy,regular,3,174,sell,UNH,steep_decline,5010.0,True,MSFT,True,13.0912,11.955,12.0753,1.1362,1.0159,1.1362,1.0159,4.2466,3.7335,3.698,5010.0,5010.0
1,diversified_sleepy,regular,4,199,sell,MSFT,steep_decline,7250.0,True,AAPL,True,7.5368,7.353,7.4705,0.1838,0.0663,1.32,1.0822,0.7019,0.813,0.8276,12260.0,7883.08
1,diversified_sleepy,regular,5,224,sell,MSFT,steep_decline,1800.0,True,JPM,True,10.3317,7.6863,8.9216,2.6454,1.4101,3.9654,2.4923,2.6485,1.952,2.1489,14060.0,9683.08
2,diversified_sleepy,high,1,124,hold,,portfolio_healthy,0.0,False,,False,11.1508,11.1508,11.1508,0.0,0.0,0.0,0.0,1.335,1.335,1.335,0.0,0.0
2,diversified_sleepy,high,2,149,hold,,portfolio_healthy,0.0,False,,False,10.3543,10.3543,10.3543,0.0,0.0,0.0,0.0,3.8684,3.8684,3.8684,0.0,0.0
2,diversified_sleepy,high,3,174,sell,UNH,steep_decline,1180.0,True,MSFT,True,10.35,10.1571,10.1955,0.193,0.1546,0.193,0.1546,2.6505,2.6039,2.6015,1180.0,1180.0
2,diversified_sleepy,high,4,199,sell,MSFT,steep_decline,530.0,True,AAPL,True,7.7977,7.7058,7.8603,0.0919,-0.0626,0.2849,0.092,0.785,0.8045,0.8364,1710.0,1710.0
2,diversified_sleepy,high,5,224,hold,,portfolio_healthy,0.0,False,,False,8.1009,7.8785,7.9489,0.2224,0.152,0.5073,0.244,3.3594,3.3385,3.1705,1710.0,1710.0
3,diversified_sleepy,low,1,124,hold,,portfolio_healthy,0.0,False,,False,11.0166,11.0166,11.0166,0.0,0.0,0.0,0.0,1.5427,1.5427,1.5427,0.0,0.0
3,diversified_sleepy,low,2,149,hold,,portfolio_healthy,0.0,False,,False,9.1158,9.1158,9.1158,0.0,0.0,0.0,0.0,4.4183,4.4183,4.4183,0.0,0.0
3,diversified_sleepy,low,3,174,sell,MSFT,steep_decline,570.0,True,JPM,True,11.7797,11.6755,11.694,0.1043,0.0857,0.1043,0.0857,3.5364,3.4757,3.5286,570.0,570.0
3,diversified_sleepy,low,4,199,sell,MSFT,steep_decline,550.0,True,VXUS,True,9.2822,9.3587,9.1834,-0.0765,0.0988,0.0278,0.1845,0.7644,0.7625,0.7516,1120.0,1120.0
3,diversified_sleepy,low,5,224,hold,,portfolio_healthy,0.0,False,,False,9.6524,9.4973,9.5732,0.155,0.0791,0.1828,0.2637,2.8789,2.7763,2.8799,1120.0,1120.0
4,diversified_sleepy,regular,1,124,buy_new,UNH,sector_underweight,9990.0,False,,False,10.0123,10.0123,10.0123,0.0,0.0,0.0,0.0,1.7471,1.7471,1.7471,0.0,0.0
4,diversified_sleepy,regular,2,149,buy_new,UNH,sector_underweight,10250.0,False,,False,7.4573,7.4573,7.4573,0.0,0.0,0.0,0.0,4.8764,4.8764,4.8764,0.0,0.0
4,diversified_sleepy,regular,3,174,sell,MSFT,steep_decline,9040.0,True,AAPL,True,12.8991,11.2114,11.6101,1.6877,1.2889,1.6877,1.2889,4.6515,3.6834,4.5069,9040.0,9040.0
4,diversified_sleepy,regular,4,199,sell,MSFT,steep_decline,4780.0,True,VYM,True,8.8087,8.6747,7.8541,0.134,0.9546,1.8216,2.2435,1.3099,1.2874,1.7685,13820.0,13820.0
4,diversified_sleepy,regular,5,224,sell,MSFT,steep_decline,1190.0,True,AAPL,True,12.3416,9.0064,10.7352,3.3352,1.6064,5.1569,3.8499,5.2462,2.64,3.9319,15010.0,15010.0
5,diversified_sleepy,high,1,124,hold,,portfolio_healthy,0.0,False,,False,10.8099,10.8099,10.8099,0.0,0.0,0.0,0.0,1.5105,1.5105,1.5105,0.0,0.0
5,diversified_sleepy,high,2,149,hold,,portfolio_healthy,0.0,False,,False,9.012,9.012,9.012,0.0,0.0,0.0,0.0,3.5764,3.5764,3.5764,0.0,0.0
